size,blas_mean,blas_std,naive_mean,naive_std
50,0.0061174,0.006683437546652171,0.0010532,0.00022630722480734017
75,0.005222599999999999,0.004964089104760309,0.0148148,0.008065272131800638
100,0.012861800000000001,0.005316035379867219,0.0296166,0.0014593607641703948
125,0.0272364,0.015437946192418213,0.07073739999999999,0.02314687416996083
150,0.020845000000000002,0.005126374625405364,0.10630380000000002,0.025255997738359102
200,0.019225,0.006541820816867427,0.2474052,0.019862817467821623
300,0.021489400000000002,0.008442024344906854,0.5538794,0.012432261654260653
400,0.030130999999999998,0.01612815313667377,0.8456384,0.03284368164868246
600,0.1182618,0.027470307689576395,2.5902846000000004,0.14291586156420846
800,0.2416484,0.04370453134218464,5.6900889999999995,0.150677841346364
1000,0.3837826,0.03983991456617345,10.9732152,0.2797027160278567
